customer_id,age,age_group,gender,category,purchase_amount_(usd),location,season,review_rating,subscription_status,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,frequency_score,dependency_score,dependency_segment,customer_value_score,value_tier,behavioral_loyalty_score,relationship_loyalty_score,loyalty_score,loyalty_segment,satisfaction_flag,rating_segment,high_promo_user
1,55,46-55,Male,Clothing,53,Kentucky,Winter,3.1,1,1,1,14,Venmo,Fortnightly,8.0,1.0,Highly Promo Dependent,0.3389030612244898,Very Low Value,0.6061224489795919,0.4647321428571429,0.4647321428571429,Loyal,0,Satisfied,1
2,19,18-25,Male,Clothing,64,Maine,Winter,3.1,1,1,1,2,Cash,Fortnightly,8.0,1.0,Highly Promo Dependent,0.2852040816326531,Very Low Value,0.5081632653061225,0.3996428571428572,0.3996428571428572,Potential Loyalist,0,Satisfied,1
3,50,46-55,Male,Clothing,73,Massachusetts,Spring,3.1,1,1,1,23,Credit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.5557397959183674,Medium Value,0.7795918367346939,0.5665178571428572,0.5665178571428572,Champion,0,Satisfied,1
4,21,18-25,Male,Footwear,90,Rhode Island,Spring,3.5,1,1,1,49,PayPal,Weekly,10.0,1.0,Highly Promo Dependent,0.9272959183673468,High Value,0.9918367346938775,0.8241071428571428,0.8241071428571428,Champion,0,Satisfied,1
5,45,36-45,Male,Clothing,49,Oregon,Spring,2.7,1,1,1,31,PayPal,Annually,2.0,1.0,Highly Promo Dependent,0.4873724489795918,Low Value,0.4448979591836735,0.5386607142857143,0.5386607142857143,Loyal,0,Unsatisfied,1
6,46,46-55,Male,Footwear,20,Wyoming,Summer,2.9,1,1,1,14,Venmo,Weekly,10.0,1.0,Highly Promo Dependent,0.13265306122448978,Very Low Value,0.7061224489795919,0.38285714285714284,0.38285714285714284,Potential Loyalist,0,Unsatisfied,1
7,63,55+,Male,Clothing,85,Montana,Fall,3.2,1,1,1,49,Cash,Quarterly,4.0,1.0,Highly Promo Dependent,0.8960459183673468,High Value,0.6918367346938776,0.7847321428571428,0.7847321428571428,Champion,0,Satisfied,1
8,27,26-35,Male,Clothing,34,Louisiana,Winter,3.2,1,1,1,19,Credit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.2711734693877551,Very Low Value,0.7469387755102042,0.4748214285714286,0.4748214285714286,Loyal,0,Satisfied,1
9,26,26-35,Male,Outerwear,97,West Virginia,Summer,2.6,1,1,1,8,Venmo,Annually,2.0,1.0,Highly Promo Dependent,0.5526785714285715,Medium Value,0.2571428571428572,0.454375,0.454375,Loyal,0,Unsatisfied,1
10,57,55+,Male,Accessories,31,Missouri,Spring,4.8,1,1,1,4,Cash,Quarterly,4.0,1.0,Highly Promo Dependent,0.0993622448979592,Very Low Value,0.32448979591836735,0.5220535714285713,0.5220535714285713,Loyal,1,Highly Satisfied,1
11,53,46-55,Male,Footwear,34,Arkansas,Fall,4.1,1,1,1,26,Bank Transfer,Bi-Weekly,,1.0,Highly Promo Dependent,0.3426020408163265,Very Low Value,,0.6148214285714285,0.6148214285714285,Champion,1,Satisfied,1
12,30,26-35,Male,Clothing,68,Hawaii,Winter,4.9,1,1,1,10,Bank Transfer,Fortnightly,8.0,1.0,Highly Promo Dependent,0.3918367346938776,Low Value,0.573469387755102,0.6442857142857142,0.6442857142857142,Champion,1,Highly Satisfied,1
13,61,55+,Male,Outerwear,72,Delaware,Winter,4.5,1,1,1,37,Venmo,Fortnightly,8.0,1.0,Highly Promo Dependent,0.6923469387755101,High Value,0.7938775510204081,0.8046428571428571,0.8046428571428571,Champion,1,Highly Satisfied,1
14,65,55+,Male,Clothing,51,New Hampshire,Spring,4.7,1,1,1,31,PayPal,Weekly,10.0,1.0,Highly Promo Dependent,0.4998724489795918,Medium Value,0.8448979591836734,0.7424107142857143,0.7424107142857143,Champion,1,Highly Satisfied,1
15,64,55+,Male,Outerwear,53,New York,Winter,4.7,1,1,1,34,Debit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.5429846938775511,Medium Value,0.8693877551020408,0.7675892857142858,0.7675892857142858,Champion,1,Highly Satisfied,1
16,64,55+,Male,Clothing,81,Rhode Island,Winter,2.8,1,1,1,8,PayPal,Monthly,6.0,1.0,Highly Promo Dependent,0.4526785714285714,Low Value,0.4571428571428572,0.44437499999999996,0.44437499999999996,Loyal,0,Unsatisfied,1
17,25,18-25,Male,Accessories,36,Alabama,Spring,4.1,1,1,1,44,Debit Card,Bi-Weekly,,1.0,Highly Promo Dependent,0.5387755102040815,Medium Value,,0.7471428571428571,0.7471428571428571,Champion,1,Satisfied,1
18,53,46-55,Male,Clothing,38,Mississippi,Winter,4.7,1,1,1,36,Venmo,Quarterly,4.0,1.0,Highly Promo Dependent,0.46964285714285714,Low Value,0.5857142857142856,0.7537499999999999,0.7537499999999999,Champion,1,Highly Satisfied,1
19,52,46-55,Male,Clothing,48,Montana,Summer,4.6,1,1,1,17,Cash,Weekly,10.0,1.0,Highly Promo Dependent,0.338265306122449,Very Low Value,0.7306122448979593,0.6267857142857143,0.6267857142857143,Champion,1,Highly Satisfied,1
20,66,55+,Male,Clothing,90,Rhode Island,Summer,3.3,1,1,1,46,Debit Card,Bi-Weekly,,1.0,Highly Promo Dependent,0.8966836734693877,High Value,,0.7826785714285714,0.7826785714285714,Champion,0,Satisfied,1
21,21,18-25,Male,Clothing,51,Louisiana,Winter,2.8,1,1,1,50,Cash,Every 3 Months,,1.0,Highly Promo Dependent,0.6937500000000001,High Value,,0.6881249999999999,0.6881249999999999,Champion,0,Unsatisfied,1
22,31,26-35,Male,Clothing,62,North Carolina,Winter,4.1,1,1,1,22,Debit Card,Quarterly,4.0,1.0,Highly Promo Dependent,0.47678571428571426,Low Value,0.4714285714285714,0.6387499999999999,0.6387499999999999,Champion,1,Satisfied,1
23,56,55+,Male,Clothing,37,California,Summer,3.2,1,1,1,32,Debit Card,Annually,2.0,1.0,Highly Promo Dependent,0.42257653061224487,Low Value,0.4530612244897959,0.5733035714285715,0.5733035714285715,Champion,0,Satisfied,1
24,31,26-35,Male,Clothing,88,Oklahoma,Winter,4.4,1,1,1,40,Credit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.8229591836734693,High Value,0.9183673469387754,0.8460714285714286,0.8460714285714286,Champion,1,Satisfied,1
25,18,18-25,Male,Outerwear,22,Florida,Fall,2.9,1,1,1,16,Debit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.1655612244897959,Very Low Value,0.7224489795918367,0.40089285714285705,0.40089285714285705,Potential Loyalist,0,Unsatisfied,1
26,18,18-25,Male,Clothing,25,Texas,Summer,3.6,1,1,1,14,PayPal,Annually,2.0,1.0,Highly Promo Dependent,0.16390306122448978,Very Low Value,0.30612244897959184,0.4622321428571429,0.4622321428571429,Loyal,0,Satisfied,1
27,38,36-45,Male,Accessories,20,Nevada,Spring,3.6,1,1,1,13,Credit Card,Annually,2.0,1.0,Highly Promo Dependent,0.12244897959183672,Very Low Value,0.2979591836734694,0.44571428571428573,0.44571428571428573,Loyal,0,Satisfied,1
28,56,55+,Male,Clothing,56,Kentucky,Summer,5.0,1,1,1,7,Bank Transfer,Every 3 Months,,1.0,Highly Promo Dependent,0.2862244897959184,Very Low Value,,0.6103571428571429,0.6103571428571429,Champion,1,Highly Satisfied,1
29,54,46-55,Male,Accessories,94,North Carolina,Fall,4.4,1,1,1,41,PayPal,Every 3 Months,,1.0,Highly Promo Dependent,0.8706632653061224,High Value,,0.8644642857142857,0.8644642857142857,Champion,1,Satisfied,1
30,31,26-35,Male,Clothing,48,Wyoming,Fall,4.1,1,1,1,14,Credit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.3076530612244898,Very Low Value,0.7061224489795919,0.5553571428571429,0.5553571428571429,Loyal,1,Satisfied,1
31,57,55+,Male,Accessories,31,North Carolina,Winter,4.7,1,1,1,16,Credit Card,Monthly,6.0,1.0,Highly Promo Dependent,0.2218112244897959,Very Low Value,0.5224489795918368,0.5977678571428572,0.5977678571428572,Champion,1,Highly Satisfied,1
32,33,26-35,Male,Clothing,79,West Virginia,Winter,4.7,1,1,1,45,Venmo,Monthly,6.0,1.0,Highly Promo Dependent,0.8177295918367347,High Value,0.7591836734693878,0.8949107142857142,0.8949107142857142,Champion,1,Highly Satisfied,1
33,36,36-45,Male,Outerwear,67,Kansas,Summer,4.9,1,1,1,37,Venmo,Annually,2.0,1.0,Highly Promo Dependent,0.6610969387755101,High Value,0.49387755102040815,0.8352678571428571,0.8352678571428571,Champion,1,Highly Satisfied,1
34,54,46-55,Male,Clothing,38,Colorado,Summer,3.3,1,1,1,45,Cash,Quarterly,4.0,1.0,Highly Promo Dependent,0.5614795918367347,Medium Value,0.6591836734693877,0.6780357142857143,0.6780357142857143,Champion,0,Satisfied,1
35,36,36-45,Male,Clothing,91,North Dakota,Spring,4.6,1,1,1,38,PayPal,Quarterly,4.0,1.0,Highly Promo Dependent,0.8213010204081632,High Value,0.6020408163265307,0.8574107142857141,0.8574107142857141,Champion,1,Highly Satisfied,1
36,54,46-55,Male,Clothing,33,Massachusetts,Summer,4.0,1,1,1,48,Credit Card,Bi-Weekly,,1.0,Highly Promo Dependent,0.5608418367346939,Medium Value,,0.7600892857142857,0.7600892857142857,Champion,1,Satisfied,1
37,35,26-35,Male,Clothing,69,Illinois,Winter,4.6,1,1,1,44,PayPal,Fortnightly,8.0,1.0,Highly Promo Dependent,0.7450255102040816,High Value,0.8510204081632653,0.859017857142857,0.859017857142857,Champion,1,Highly Satisfied,1
38,35,26-35,Male,Clothing,45,Indiana,Summer,2.8,1,1,1,10,PayPal,Weekly,10.0,1.0,Highly Promo Dependent,0.24808673469387754,Very Low Value,0.6734693877551021,0.39116071428571425,0.39116071428571425,Potential Loyalist,0,Unsatisfied,1
39,29,26-35,Male,Clothing,37,Florida,Winter,3.8,1,1,1,44,Venmo,Every 3 Months,,1.0,Highly Promo Dependent,0.5450255102040815,Medium Value,,0.719017857142857,0.719017857142857,Champion,0,Satisfied,1
40,70,55+,Male,Clothing,60,Arizona,Summer,4.2,1,1,1,18,Credit Card,Monthly,6.0,1.0,Highly Promo Dependent,0.423469387755102,Low Value,0.5387755102040817,0.6164285714285713,0.6164285714285713,Champion,1,Satisfied,1
41,69,55+,Male,Accessories,76,Louisiana,Winter,4.6,1,1,1,31,Debit Card,Quarterly,4.0,1.0,Highly Promo Dependent,0.6561224489795918,High Value,0.5448979591836735,0.7792857142857141,0.7792857142857141,Champion,1,Highly Satisfied,1
42,67,55+,Male,Accessories,39,Alaska,Spring,4.5,1,1,1,40,Venmo,Annually,2.0,1.0,Highly Promo Dependent,0.5167091836734694,Medium Value,0.5183673469387755,0.7641964285714284,0.7641964285714284,Champion,1,Highly Satisfied,1
43,20,18-25,Male,Outerwear,100,Tennessee,Spring,4.1,1,1,1,15,PayPal,Annually,2.0,1.0,Highly Promo Dependent,0.6428571428571428,Medium Value,0.3142857142857143,0.66,0.66,Champion,1,Satisfied,1
44,25,18-25,Male,Accessories,69,Ohio,Fall,3.7,1,1,1,19,PayPal,Fortnightly,8.0,1.0,Highly Promo Dependent,0.4899234693877551,Low Value,0.6469387755102041,0.5904464285714286,0.5904464285714286,Champion,0,Satisfied,1
45,39,36-45,Male,Accessories,53,Kentucky,Summer,4.6,1,1,1,45,PayPal,Weekly,10.0,1.0,Highly Promo Dependent,0.6552295918367347,High Value,0.9591836734693877,0.8361607142857143,0.8361607142857143,Champion,1,Highly Satisfied,1
46,50,46-55,Male,Clothing,21,Tennessee,Fall,2.9,1,1,1,25,PayPal,Annually,2.0,1.0,Highly Promo Dependent,0.2511479591836735,Very Low Value,0.3959183673469388,0.46330357142857137,0.46330357142857137,Loyal,0,Unsatisfied,1
47,57,55+,Male,Clothing,43,California,Summer,2.9,1,1,1,45,Cash,Quarterly,4.0,1.0,Highly Promo Dependent,0.5927295918367346,Medium Value,0.6591836734693877,0.6474107142857143,0.6474107142857143,Champion,0,Unsatisfied,1
48,55,46-55,Male,Accessories,54,Montana,Winter,4.5,1,1,1,36,Cash,Weekly,10.0,1.0,Highly Promo Dependent,0.5696428571428571,Medium Value,0.8857142857142857,0.7637499999999999,0.7637499999999999,Champion,1,Highly Satisfied,1
49,42,36-45,Male,Clothing,55,Nevada,Summer,2.7,1,1,1,38,Cash,Monthly,6.0,1.0,Highly Promo Dependent,0.5963010204081632,Medium Value,0.7020408163265306,0.5999107142857143,0.5999107142857143,Champion,0,Unsatisfied,1
50,68,55+,Male,Clothing,30,New Jersey,Spring,4.6,1,1,1,34,Debit Card,Bi-Weekly,,1.0,Highly Promo Dependent,0.399234693877551,Low Value,,0.7144642857142857,0.7144642857142857,Champion,1,Highly Satisfied,1
51,49,46-55,Male,Clothing,28,Maryland,Spring,3.8,1,1,1,39,Debit Card,Bi-Weekly,,1.0,Highly Promo Dependent,0.43775510204081625,Low Value,,0.6664285714285714,0.6664285714285714,Champion,0,Satisfied,1
52,59,55+,Male,Clothing,59,Vermont,Winter,4.7,1,1,1,7,Credit Card,Quarterly,4.0,1.0,Highly Promo Dependent,0.3049744897959184,Very Low Value,0.3489795918367347,0.5859821428571429,0.5859821428571429,Champion,1,Highly Satisfied,1
53,42,36-45,Male,Clothing,20,Alaska,Summer,2.6,1,1,1,26,Credit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.2551020408163265,Very Low Value,0.8040816326530613,0.4385714285714285,0.4385714285714285,Loyal,0,Unsatisfied,1
54,29,26-35,Male,Clothing,24,Mississippi,Winter,3.9,1,1,1,35,Credit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.37193877551020404,Low Value,0.8775510204081631,0.6403571428571428,0.6403571428571428,Champion,0,Satisfied,1
55,47,46-55,Male,Outerwear,94,New Mexico,Summer,4.2,1,1,1,35,Debit Card,Bi-Weekly,,1.0,Highly Promo Dependent,0.809438775510204,High Value,,0.8016071428571429,0.8016071428571429,Champion,1,Satisfied,1
56,40,36-45,Male,Outerwear,28,South Carolina,Winter,3.0,1,1,1,49,Credit Card,Annually,2.0,1.0,Highly Promo Dependent,0.5397959183673469,Medium Value,0.5918367346938775,0.6578571428571428,0.6578571428571428,Champion,0,Satisfied,1
57,41,36-45,Male,Accessories,73,Mississippi,Summer,4.7,1,1,1,46,Credit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.7904336734693878,High Value,0.9673469387755103,0.8908035714285714,0.8908035714285714,Champion,1,Highly Satisfied,1
58,21,18-25,Male,Outerwear,64,West Virginia,Summer,4.4,1,1,1,17,Debit Card,Fortnightly,8.0,1.0,Highly Promo Dependent,0.43826530612244896,Low Value,0.6306122448979592,0.6367857142857143,0.6367857142857143,Champion,1,Satisfied,1
59,69,55+,Male,Clothing,54,Missouri,Summer,4.2,1,1,1,29,Venmo,Monthly,6.0,1.0,Highly Promo Dependent,0.4982142857142857,Medium Value,0.6285714285714286,0.68375,0.68375,Champion,1,Satisfied,1
60,63,55+,Male,Accessories,79,Louisiana,Spring,4.6,1,1,1,4,Debit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.3993622448979592,Low Value,0.6244897959183674,0.5920535714285714,0.5920535714285714,Champion,1,Highly Satisfied,1
61,50,46-55,Male,Clothing,37,Idaho,Summer,4.0,1,1,1,17,Cash,Weekly,10.0,1.0,Highly Promo Dependent,0.269515306122449,Very Low Value,0.7306122448979593,0.5461607142857142,0.5461607142857142,Loyal,1,Satisfied,1
62,55,46-55,Male,Accessories,68,Texas,Winter,4.7,1,1,1,21,Credit Card,Every 3 Months,,1.0,Highly Promo Dependent,0.5040816326530613,Medium Value,,0.7028571428571427,0.7028571428571427,Champion,1,Highly Satisfied,1
63,30,26-35,Male,Footwear,21,Mississippi,Spring,3.8,1,1,1,31,Credit Card,Fortnightly,8.0,1.0,Highly Promo Dependent,0.3123724489795918,Very Low Value,0.7448979591836735,0.5961607142857143,0.5961607142857143,Champion,0,Satisfied,1
64,33,26-35,Male,Accessories,79,Arizona,Winter,2.7,1,1,1,43,Credit Card,Weekly,10.0,1.0,Highly Promo Dependent,0.7973214285714285,High Value,0.9428571428571428,0.680625,0.680625,Champion,0,Unsatisfied,1
65,65,55+,Male,Footwear,83,Alabama,Fall,4.8,1,1,1,18,Debit Card,Fortnightly,8.0,1.0,Highly Promo Dependent,0.5672193877551021,Medium Value,0.6387755102040817,0.7195535714285715,0.7195535714285715,Champion,1,Highly Satisfied,1
66,65,55+,Male,Accessories,36,New Jersey,Spring,4.8,1,1,1,44,Venmo,Every 3 Months,,1.0,Highly Promo Dependent,0.5387755102040815,Medium Value,,0.8171428571428571,0.8171428571428571,Champion,1,Highly Satisfied,1
